Vernier Format 2
Nuovo file.cmbl 01/12/2021 17:06:58 .
Ultimo
Tempo	Tensione 1	Tensione 2	Tensione 3	Tensione 4	R1	R2	R3	Temperature
t	Tens 1	Tens 2	Tens 3	Tens 4	R1	R2	R3	T
s	V	V	V	V	Ω	Ω	Ω	K

1940	1.15873	0.035409	1.52747	2.02686	115.873	3.5409	1.52747	202.686
1950	1.1514	0.035409	1.51893	2.01832	115.14	3.5409	1.51893	201.832
1960	1.1453	0.035409	1.51282	2.01099	114.53	3.5409	1.51282	201.099
1970	1.13797	0.035409	1.50672	2.00244	113.797	3.5409	1.50672	200.244
1980	1.13187	0.035409	1.49939	1.99512	113.187	3.5409	1.49939	199.512
1990	1.12454	0.034188	1.49206	1.98657	112.454	3.4188	1.49206	198.657
2000	1.11844	0.034188	1.48596	1.98046	111.844	3.4188	1.48596	198.046
2010	1.11111	0.034188	1.47985	1.97192	111.111	3.4188	1.47985	197.192
2020	1.10501	0.034188	1.47375	1.96459	110.501	3.4188	1.47375	196.459
2030	1.0989	0.034188	1.46764	1.95727	109.89	3.4188	1.46764	195.727
2040	1.0928	0.034188	1.46032	1.94872	109.28	3.4188	1.46032	194.872
2050	1.08547	0.034188	1.45299	1.94139	108.547	3.4188	1.45299	194.139
2060	1.07937	0.032967	1.44689	1.93407	107.937	3.2967	1.44689	193.407
2070	1.07326	0.032967	1.44078	1.92552	107.326	3.2967	1.44078	192.552
2080	1.06716	0.032967	1.43346	1.91941	106.716	3.2967	1.43346	191.941
2090	1.06105	0.032967	1.42735	1.91087	106.105	3.2967	1.42735	191.087
2100	1.05495	0.031746	1.42125	1.90476	105.495	3.1746	1.42125	190.476
2110	1.04884	0.031746	1.41514	1.89744	104.884	3.1746	1.41514	189.744
2120	1.04274	0.031746	1.40904	1.89133	104.274	3.1746	1.40904	189.133
2130	1.03663	0.031746	1.40293	1.88278	103.663	3.1746	1.40293	188.278
2140	1.03175	0.031746	1.39683	1.87668	103.175	3.1746	1.39683	187.668
2150	1.02442	0.031746	1.39072	1.86935	102.442	3.1746	1.39072	186.935
2160	1.01954	0.031746	1.38462	1.86325	101.954	3.1746	1.38462	186.325
2170	1.01343	0.030525	1.37851	1.85592	101.343	3.0525	1.37851	185.592
2180	1.00855	0.030525	1.37363	1.84982	100.855	3.0525	1.37363	184.982
2190	1.00366	0.030525	1.3663	1.84371	100.366	3.0525	1.3663	184.371
2200	0.997558	0.030525	1.36142	1.83639	99.7558	3.0525	1.36142	183.639
2210	0.992674	0.030525	1.35653	1.83028	99.2674	3.0525	1.35653	183.028
2220	0.986569	0.030525	1.35043	1.82418	98.6569	3.0525	1.35043	182.418
2230	0.981685	0.029304	1.34432	1.81807	98.1685	2.9304	1.34432	181.807
2240	0.976801	0.029304	1.33944	1.81074	97.6801	2.9304	1.33944	181.074
2250	0.971917	0.029304	1.33333	1.80586	97.1917	2.9304	1.33333	180.586
2260	0.965812	0.029304	1.32845	1.79853	96.5812	2.9304	1.32845	179.853
2270	0.962149	0.029304	1.32357	1.79365	96.2149	2.9304	1.32357	179.365
2280	0.957265	0.029304	1.31746	1.78755	95.7265	2.9304	1.31746	178.755
2290	0.952381	0.028083	1.31136	1.78144	95.2381	2.8083	1.31136	178.144
2300	0.946276	0.029304	1.30647	1.77656	94.6276	2.9304	1.30647	177.656
2310	0.941392	0.029304	1.30037	1.77045	94.1392	2.9304	1.30037	177.045
2320	0.935287	0.029304	1.29548	1.76435	93.5287	2.9304	1.29548	176.435
2330	0.929182	0.029304	1.28938	1.75702	92.9182	2.9304	1.28938	175.702
2340	0.921856	0.028083	1.28327	1.75092	92.1856	2.8083	1.28327	175.092
2350	0.91453	0.028083	1.27595	1.74359	91.453	2.8083	1.27595	174.359
2360	0.908425	0.028083	1.26862	1.73626	90.8425	2.8083	1.26862	173.626
2370	0.901099	0.028083	1.26129	1.73016	90.1099	2.8083	1.26129	173.016
2380	0.894994	0.028083	1.25397	1.72283	89.4994	2.8083	1.25397	172.283
2390	0.888889	0.026862	1.24664	1.71306	88.8889	2.6862	1.24664	171.306
2400	0.882784	0.026862	1.2381	1.70452	88.2784	2.6862	1.2381	170.452
2410	0.875458	0.026862	1.22955	1.69719	87.5458	2.6862	1.22955	169.719
2420	0.868132	0.026862	1.22222	1.68742	86.8132	2.6862	1.22222	168.742
2430	0.860806	0.026862	1.21368	1.67888	86.0806	2.6862	1.21368	167.888
2440	0.854701	0.026862	1.20513	1.67033	85.4701	2.6862	1.20513	167.033
2450	0.846154	0.025641	1.19658	1.66178	84.6154	2.5641	1.19658	166.178
2460	0.838828	0.025641	1.18803	1.65201	83.8828	2.5641	1.18803	165.201
2470	0.832723	0.025641	1.17949	1.64225	83.2723	2.5641	1.17949	164.225
2480	0.824176	0.025641	1.16972	1.63248	82.4176	2.5641	1.16972	163.248
2490	0.81685	0.02442	1.16117	1.62393	81.685	2.442	1.16117	162.393
2500	0.809524	0.02442	1.15263	1.61294	80.9524	2.442	1.15263	161.294
2510	0.802198	0.02442	1.14286	1.6044	80.2198	2.442	1.14286	160.44
2520	0.794872	0.02442	1.13553	1.59585	79.4872	2.442	1.13553	159.585
2530	0.787546	0.02442	1.12576	1.58608	78.7546	2.442	1.12576	158.608
2540	0.781441	0.02442	1.116	1.57631	78.1441	2.442	1.116	157.631
2550	0.772894	0.023199	1.10867	1.56777	77.2894	2.3199	1.10867	156.777
2560	0.765568	0.021978	1.10012	1.558	76.5568	2.1978	1.10012	155.8
2570	0.759463	0.023199	1.09158	1.54823	75.9463	2.3199	1.09158	154.823
2580	0.752137	0.023199	1.08303	1.53968	75.2137	2.3199	1.08303	153.968
2590	0.746032	0.021978	1.07448	1.53114	74.6032	2.1978	1.07448	153.114
2600	0.738706	0.021978	1.06593	1.52259	73.8706	2.1978	1.06593	152.259
2610	0.732601	0.021978	1.05739	1.51404	73.2601	2.1978	1.05739	151.404
2620	0.726496	0.021978	1.05006	1.50549	72.6496	2.1978	1.05006	150.549
2630	0.71917	0.021978	1.04151	1.49695	71.917	2.1978	1.04151	149.695
2640	0.713065	0.020757	1.03297	1.4884	71.3065	2.0757	1.03297	148.84
2650	0.70696	0.020757	1.02564	1.47985	70.696	2.0757	1.02564	147.985
2660	0.699634	0.020757	1.01832	1.47131	69.9634	2.0757	1.01832	147.131
2670	0.69475	0.019536	1.00977	1.46276	69.475	1.9536	1.00977	146.276
2680	0.688645	0.019536	1.00244	1.45543	68.8645	1.9536	1.00244	145.543
2690	0.68254	0.019536	0.993895	1.44811	68.254	1.9536	0.993895	144.811
2700	0.675214	0.019536	0.986569	1.43956	67.5214	1.9536	0.986569	143.956
2710	0.669109	0.019536	0.979243	1.43101	66.9109	1.9536	0.979243	143.101
2720	0.664225	0.019536	0.971917	1.42491	66.4225	1.9536	0.971917	142.491
2730	0.65812	0.019536	0.964591	1.41636	65.812	1.9536	0.964591	141.636
2740	0.653236	0.019536	0.957265	1.40904	65.3236	1.9536	0.957265	140.904
2750	0.648352	0.019536	0.949939	1.40293	64.8352	1.9536	0.949939	140.293
2760	0.643468	0.019536	0.942613	1.3956	64.3468	1.9536	0.942613	139.56
2770	0.638584	0.018315	0.935287	1.38828	63.8584	1.8315	0.935287	138.828
2780	0.632479	0.018315	0.929182	1.38095	63.2479	1.8315	0.929182	138.095
2790	0.628816	0.018315	0.923077	1.37485	62.8816	1.8315	0.923077	137.485
2800	0.623932	0.017094	0.915751	1.36752	62.3932	1.7094	0.915751	136.752
2810	0.619048	0.017094	0.909646	1.3602	61.9048	1.7094	0.909646	136.02
2820	0.614164	0.018315	0.903541	1.35531	61.4164	1.8315	0.903541	135.531
2830	0.60928	0.017094	0.897436	1.34799	60.928	1.7094	0.897436	134.799
2840	0.605617	0.017094	0.891331	1.34188	60.5617	1.7094	0.891331	134.188
2850	0.600733	0.017094	0.885226	1.33578	60.0733	1.7094	0.885226	133.578
2860	0.59707	0.017094	0.879121	1.33089	59.707	1.7094	0.879121	133.089
2870	0.592186	0.017094	0.874237	1.32479	59.2186	1.7094	0.874237	132.479
2880	0.588523	0.017094	0.868132	1.3199	58.8523	1.7094	0.868132	131.99
2890	0.58486	0.017094	0.862027	1.3138	58.486	1.7094	0.862027	131.38
2900	0.581197	0.015873	0.857143	1.30891	58.1197	1.5873	0.857143	130.891
2910	0.577534	0.015873	0.852259	1.30281	57.7534	1.5873	0.852259	130.281
2920	0.573871	0.015873	0.847375	1.29915	57.3871	1.5873	0.847375	129.915
2930	0.570208	0.015873	0.84127	1.29426	57.0208	1.5873	0.84127	129.426
2940	0.566545	0.015873	0.837607	1.28694	56.6545	1.5873	0.837607	128.694
2950	0.562882	0.015873	0.832723	1.28327	56.2882	1.5873	0.832723	128.327
2960	0.56044	0.015873	0.826618	1.27839	56.044	1.5873	0.826618	127.839
2970	0.556777	0.015873	0.822955	1.2735	55.6777	1.5873	0.822955	127.35
2980	0.553114	0.015873	0.818071	1.26984	55.3114	1.5873	0.818071	126.984
2990	0.550672	0.015873	0.813187	1.26496	55.0672	1.5873	0.813187	126.496
3000	0.547009	0.014652	0.808303	1.26007	54.7009	1.4652	0.808303	126.007
3010	0.543346	0.014652	0.803419	1.25641	54.3346	1.4652	0.803419	125.641
3020	0.539683	0.014652	0.799756	1.25153	53.9683	1.4652	0.799756	125.153
3030	0.534799	0.014652	0.794872	1.24786	53.4799	1.4652	0.794872	124.786
3040	0.532357	0.014652	0.789988	1.2442	53.2357	1.4652	0.789988	124.42
3050	0.527473	0.015873	0.783883	1.24054	52.7473	1.5873	0.783883	124.054
3060	0.52381	0.014652	0.78022	1.23565	52.381	1.4652	0.78022	123.565
3070	0.521368	0.014652	0.774115	1.23077	52.1368	1.4652	0.774115	123.077
3080	0.517705	0.014652	0.770452	1.22589	51.7705	1.4652	0.770452	122.589
3090	0.514042	0.014652	0.765568	1.22222	51.4042	1.4652	0.765568	122.222
3100	0.5116	0.013431	0.760684	1.21856	51.16	1.3431	0.760684	121.856
