integration time 1.000,000 ms
average 50
LED operation voltage 3V
wavelength nm vs intensity

7.314421997e+02,1.204463188e-03
7.316739502e+02,-2.675549127e-03
7.319056396e+02,4.314559046e-03
7.321373901e+02,2.558028558e-03
7.323691406e+02,4.127308726e-03
7.326008911e+02,4.163521808e-03
7.328326416e+02,2.564646304e-03
7.330643921e+02,1.015640795e-03
7.332962036e+02,9.020169266e-03
7.335280151e+02,-4.154409282e-03
7.337598267e+02,-2.153616399e-03
7.339916382e+02,-1.222091727e-03
7.342234497e+02,3.450569930e-03
7.344552612e+02,1.116291061e-02
7.346871338e+02,6.807736121e-03
7.349189453e+02,-3.470375435e-03
7.351508179e+02,-1.226209570e-03
7.353826904e+02,-1.322529744e-03
7.356145630e+02,-1.666129101e-03
7.358464355e+02,4.182336852e-03
7.360783691e+02,4.633758217e-03
7.363102417e+02,4.246284720e-03
7.365421753e+02,1.978787826e-03
7.367741089e+02,6.314754486e-03
7.370060425e+02,1.109810197e-03
7.372379761e+02,9.778016247e-03
7.374699097e+02,-3.660165472e-03
7.377019043e+02,8.138812147e-03
7.379338379e+02,2.098935656e-03
7.381658325e+02,1.230411418e-02
7.383978271e+02,3.951314720e-04
7.386298218e+02,4.520573188e-03
7.388618164e+02,4.374981858e-03
7.390938721e+02,6.690698210e-03
7.393258667e+02,8.357809857e-03
7.395579224e+02,-1.633294043e-03
7.397899780e+02,5.488354247e-03
7.400220337e+02,1.422398840e-03
7.402540894e+02,1.645746827e-02
7.404861450e+02,2.548082499e-03
7.407182617e+02,4.331692588e-03
7.409503784e+02,3.866954939e-04
7.411824341e+02,9.354597889e-03
7.414145508e+02,5.311388988e-03
7.416466675e+02,5.132836755e-03
7.418788452e+02,1.299417927e-03
7.421109619e+02,-2.030318574e-04
7.423431396e+02,4.195866175e-03
7.425752563e+02,7.857379969e-04
7.428074341e+02,5.710826255e-03
7.430396118e+02,-1.546305371e-03
7.432717896e+02,1.396811451e-03
7.435040283e+02,1.762474538e-03
7.437362061e+02,4.907172173e-03
7.439684448e+02,1.011294778e-02
7.442006836e+02,1.014144276e-03
7.444329224e+02,-7.572079543e-03
7.446651611e+02,1.139493252e-04
7.448973999e+02,6.487619132e-03
7.451296387e+02,1.973349135e-03
7.453619385e+02,6.996639073e-03
7.455942383e+02,2.185246907e-03
7.458264771e+02,8.893487044e-03
7.460587769e+02,-1.458569295e-05
7.462911377e+02,-3.260264930e-04
7.465234375e+02,3.525023116e-03
7.467557373e+02,4.155351315e-03
7.469880981e+02,6.316156359e-04
7.472204590e+02,8.925609291e-03
7.474528198e+02,-8.719211444e-03
7.476851807e+02,1.621666161e-05
7.479175415e+02,4.343054257e-03
7.481499634e+02,4.003447946e-03
7.483823242e+02,6.543353666e-03
7.486147461e+02,5.763693713e-03
7.488471680e+02,7.056438830e-03
7.490795898e+02,1.707501477e-03
7.493120117e+02,2.033435041e-03
7.495444336e+02,-5.702281836e-03
7.497769165e+02,1.095240936e-03
7.500093384e+02,5.662320647e-03
7.502418213e+02,7.842948660e-03
7.504743042e+02,3.799651284e-03
7.507067871e+02,7.938604103e-04
7.509392700e+02,2.910446143e-03
7.511718140e+02,4.945102613e-03
7.514042969e+02,5.967010278e-03
7.516368408e+02,1.810340560e-03
7.518693848e+02,8.943800814e-03
7.521019287e+02,1.140144281e-02
7.523344727e+02,-7.109253667e-03
7.525670166e+02,2.156824106e-03
7.527996216e+02,-6.844365969e-03
7.530321655e+02,2.244667150e-03
7.532647705e+02,4.506153986e-03
7.534973755e+02,2.239650348e-03
7.537299805e+02,5.108369980e-03
7.539625854e+02,-4.326593596e-03
7.541952515e+02,1.496643294e-03
7.544278564e+02,-2.051041462e-03
7.546605225e+02,-4.026559182e-03
7.548931885e+02,4.825152457e-03
7.551258545e+02,2.655896125e-03
7.553585205e+02,4.683416410e-05
7.555911865e+02,4.078342114e-03
7.558239136e+02,-2.919877414e-03
7.560565796e+02,-8.171505178e-04
7.562893066e+02,7.775709033e-03
7.565220337e+02,-6.070020143e-03
7.567547607e+02,-1.401275629e-03
7.569874878e+02,-3.435593680e-04
7.572202759e+02,-2.570317825e-03
7.574530029e+02,4.541707225e-03
7.576857910e+02,4.869566299e-03
7.579185791e+02,4.520339891e-03
7.581513672e+02,5.318630021e-03
7.583841553e+02,2.784233540e-03
7.586169434e+02,-2.169605577e-03
7.588497925e+02,4.690785427e-03
7.590825806e+02,9.516434744e-03
7.593154297e+02,-4.439945798e-03
7.595482788e+02,7.267579436e-03
7.597811279e+02,1.515944139e-03
7.600139771e+02,-8.110110648e-03
7.602468262e+02,9.499759180e-04
7.604797363e+02,8.863443509e-03
7.607125854e+02,9.240164421e-03
7.609454956e+02,7.488255855e-03
7.611784058e+02,7.197244558e-03
7.614113159e+02,3.273125272e-03
7.616442871e+02,4.724593833e-03
7.618771973e+02,5.084468983e-03
7.621101685e+02,3.692688886e-03
7.623430786e+02,-2.079367405e-03
7.625760498e+02,-4.941406660e-04
7.628090210e+02,3.148545045e-03
7.630419922e+02,-2.526498400e-03
7.632750244e+02,-3.884613514e-03
7.635079956e+02,2.852668986e-03
7.637410278e+02,-1.037454567e-04
7.639740601e+02,4.713812377e-03
7.642070923e+02,5.813611206e-03
7.644401245e+02,-7.214167155e-03
7.646731567e+02,3.372589359e-03
7.649061890e+02,2.381617902e-03
7.651392822e+02,1.379008871e-02
7.653723755e+02,-2.439702861e-03
7.656054077e+02,6.873265374e-03
7.658385010e+02,4.491960164e-03
